geneticname,breedid,age,dayfeedperbird,targetweight,note,last_userid,created_date,last_updated,is_active
CornishXRock,Male,24,0.271,2.757,,,,,TRUE
CornishXRock,Male,25,0.271,2.943,,,,,TRUE
CornishXRock,Male,26,0.271,3.129,,,,,TRUE
CornishXRock,Male,27,0.271,3.314,,,,,TRUE
CornishXRock,Male,28,0.271,3.5,,,,,TRUE
CornishXRock,Male,29,0.314,3.714,,,,,TRUE
CornishXRock,Male,30,0.314,3.929,,,,,TRUE
CornishXRock,Male,31,0.314,4.143,,,,,TRUE
CornishXRock,Male,32,0.314,4.357,,,,,TRUE
CornishXRock,Male,33,0.314,4.571,,,,,TRUE
CornishXRock,Male,34,0.314,4.786,,,,,TRUE
CornishXRock,Male,35,0.314,5,,,,,TRUE
CornishXRock,Male,36,0.4,5.243,,,,,TRUE
CornishXRock,Male,37,0.4,5.486,,,,,TRUE
CornishXRock,Male,38,0.4,5.729,,,,,TRUE
CornishXRock,Male,39,0.4,5.971,,,,,TRUE
CornishXRock,Male,40,0.4,6.214,,,,,TRUE
CornishXRock,Male,41,0.4,6.457,,,,,TRUE
CornishXRock,Male,42,0.4,6.7,,,,,TRUE
CornishXRock,Male,43,0.443,6.929,,,,,TRUE
CornishXRock,Male,44,0.443,7.157,,,,,TRUE
CornishXRock,Male,45,0.443,7.386,,,,,TRUE
CornishXRock,Male,46,0.443,7.614,,,,,TRUE
CornishXRock,Male,47,0.443,7.843,,,,,TRUE
CornishXRock,Male,48,0.443,8.071,,,,,TRUE
CornishXRock,Male,49,0.443,8.3,,,,,TRUE
CornishXRock,Male,50,0.643,8.514,,,,,TRUE
CornishXRock,Male,51,0.643,8.729,,,,,TRUE
CornishXRock,Male,52,0.643,8.943,,,,,TRUE
CornishXRock,Male,53,0.643,9.157,,,,,TRUE
CornishXRock,Male,54,0.643,9.371,,,,,TRUE
CornishXRock,Male,55,0.643,9.586,,,,,TRUE
CornishXRock,Male,56,0.643,9.8,,,,,TRUE
CornishXRock,Male,57,0.529,9.929,,,,,TRUE
CornishXRock,Male,58,0.529,10.057,,,,,TRUE
CornishXRock,Male,59,0.529,10.186,,,,,TRUE
